Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-5-mini,1045,1009,1085,1000,1000,50.0%,31
2,Qwen2.5-3B,1035,1004,1069,1000,1000,47.9%,47
3,gpt-4o-mini,1021,991,1053,1000,1000,45.7%,52
4,Qwen3-4B,980,947,1013,1000,1000,38.1%,40
5,Qwen3-32B,975,947,1004,1000,1000,35.2%,59
6,gpt-4o,975,945,1002,1000,1000,34.8%,51
7,Gemma3-27B,965,937,995,1000,1000,33.6%,55
