Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-5-mini,1188,1152,1228,1078,1476,77.8%,36
2,Gemma3-27B,1033,1000,1069,1044,1011,55.6%,36
3,gpt-4o,1015,981,1053,756,1281,52.8%,36
4,Qwen3-4B,998,961,1033,946,1030,50.0%,36
5,Qwen3-32B,953,919,982,935,944,41.7%,36
6,gpt-4o-mini,953,917,987,815,1051,41.7%,36
7,Qwen2.5-3B,857,822,888,744,882,22.2%,36
