Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-5-mini,1110,1099,1120,1132,1139,63.5%,561
2,gpt-4o,1030,1021,1039,1058,1089,47.5%,686
3,Gemma3-27B,1004,995,1013,1084,973,42.0%,736
4,gpt-4o-mini,998,989,1006,992,1003,40.5%,707
5,Qwen3-32B,968,959,976,1000,891,33.9%,743
6,Qwen3-4B,961,952,970,952,922,33.2%,654
7,Qwen2.5-3B,926,917,935,909,848,25.6%,655
