Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-5-mini,1069,1036,1106,1000,1000,52.7%,30
2,Gemma3-27B,1030,1007,1055,1000,1000,44.8%,58
3,gpt-4o-mini,1013,991,1037,1000,1000,39.6%,55
4,gpt-4o,991,969,1012,1000,1000,33.9%,56
5,Qwen3-32B,986,965,1009,1000,1000,32.8%,58
6,Qwen3-4B,958,933,980,1000,1000,26.1%,49
7,Qwen2.5-3B,950,928,970,1000,1000,23.7%,54
