Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-5-mini,1105,1052,1163,1000,1000,62.1%,29
2,gpt-4o,1032,990,1080,1000,1000,44.1%,34
3,Qwen3-4B,1002,962,1042,1000,1000,35.9%,39
4,Qwen3-32B,999,962,1038,1000,1000,32.7%,49
5,Gemma3-27B,987,950,1022,1000,1000,30.4%,46
6,gpt-4o-mini,975,942,1008,1000,1000,27.3%,44
7,Qwen2.5-3B,896,854,929,1000,1000,0.0%,26
