Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-5-mini,1101,1058,1153,1295,1043,66.7%,36
2,gpt-4o-mini,1049,1002,1098,1336,876,58.3%,36
3,Gemma3-27B,1016,968,1069,1350,725,52.8%,36
4,Qwen3-32B,1016,969,1065,1233,816,52.8%,36
5,gpt-4o,1016,968,1068,1350,725,52.8%,36
6,Qwen2.5-3B,916,866,966,995,657,36.1%,36
7,Qwen3-4B,881,828,927,904,687,30.6%,36
