Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-4o,1068,1027,1108,1080,1060,58.3%,36
2,Qwen3-32B,1053,1010,1096,1178,968,55.6%,36
3,Gemma3-27B,1048,998,1097,1183,938,58.3%,36
4,gpt-5-mini,983,937,1028,1125,808,44.4%,36
5,Qwen2.5-3B,974,937,1013,974,981,38.9%,36
6,Qwen3-4B,961,924,994,1001,896,27.8%,36
7,gpt-4o-mini,910,859,958,985,815,33.3%,36
