Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-5-mini,1150,1086,1222,1000,1000,70.0%,30
2,Gemma3-27B,1081,1016,1152,1000,1000,57.1%,35
3,gpt-4o,1069,1000,1138,1000,1000,54.3%,35
4,Qwen3-4B,1050,977,1114,1000,1000,48.6%,35
5,gpt-4o-mini,1025,950,1106,1000,1000,48.6%,35
6,Qwen3-32B,902,829,969,1000,1000,28.6%,35
7,Qwen2.5-3B,718,649,788,1000,1000,2.9%,35
