Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-5-mini,1147,1103,1193,1045,1268,72.2%,36
2,gpt-4o-mini,1108,1062,1158,1188,1072,66.7%,36
3,gpt-4o,1053,1020,1088,1086,1049,58.3%,36
4,Gemma3-27B,1036,998,1073,1155,958,55.6%,36
5,Qwen3-32B,947,901,989,1076,830,41.7%,36
6,Qwen3-4B,873,825,918,817,930,30.6%,36
7,Qwen2.5-3B,833,788,875,1013,505,25.0%,36
