Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-5-mini,1206,1131,1289,1000,1000,86.7%,30
2,gpt-4o,994,943,1048,1000,1000,28.6%,35
3,Gemma3-27B,991,929,1052,1000,1000,40.0%,35
4,gpt-4o-mini,965,886,1043,1000,1000,37.1%,35
5,Qwen3-32B,964,896,1032,1000,1000,37.1%,35
6,Qwen3-4B,958,890,1023,1000,1000,34.3%,35
7,Qwen2.5-3B,919,843,984,1000,1000,25.7%,35
