Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-5-mini,1099,1072,1132,1000,1000,55.3%,30
2,Gemma3-27B,1032,1013,1053,1000,1000,41.0%,58
3,gpt-4o-mini,992,970,1012,1000,1000,31.3%,55
4,Qwen3-4B,988,966,1010,1000,1000,31.4%,49
5,gpt-4o,977,957,996,1000,1000,27.1%,56
6,Qwen3-32B,969,951,989,1000,1000,26.6%,58
7,Qwen2.5-3B,939,919,957,1000,1000,17.4%,54
