Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-5-mini,1080,1030,1145,1014,1158,63.9%,36
2,gpt-4o-mini,1047,986,1102,891,1230,58.3%,36
3,Gemma3-27B,1015,959,1071,901,1128,52.8%,36
4,gpt-4o,999,941,1056,1001,994,50.0%,36
5,Qwen3-32B,984,926,1038,862,1090,47.2%,36
6,Qwen2.5-3B,935,876,985,932,934,38.9%,36
7,Qwen3-4B,935,878,991,881,977,38.9%,36
