Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-4o,1085,1026,1157,1000,1000,57.1%,35
2,Qwen2.5-3B,1076,1019,1139,1000,1000,51.4%,35
3,gpt-4o-mini,1011,935,1088,1000,1000,45.7%,35
4,Gemma3-27B,1009,947,1079,1000,1000,42.9%,35
5,Qwen3-4B,988,928,1049,1000,1000,34.3%,35
6,Qwen3-32B,951,893,1012,1000,1000,20.0%,35
7,gpt-5-mini,876,815,932,1000,1000,6.7%,30
