Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-5-mini,1130,1107,1157,1000,1000,60.5%,126
2,gpt-4o,1072,1054,1090,1000,1000,47.3%,158
3,Gemma3-27B,1012,994,1029,1000,1000,35.8%,178
4,Qwen2.5-3B,989,968,1011,1000,1000,34.5%,148
5,gpt-4o-mini,977,959,995,1000,1000,28.8%,166
6,Qwen3-32B,922,904,940,1000,1000,15.2%,178
7,Qwen3-4B,894,874,913,1000,1000,10.3%,150
