Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-5-mini,1235,1184,1287,1167,1211,83.3%,36
2,gpt-4o,1147,1089,1214,1126,1120,63.9%,36
3,Qwen3-4B,1006,936,1080,1063,963,47.2%,36
4,gpt-4o-mini,979,916,1040,1002,971,36.1%,36
5,Gemma3-27B,885,838,932,884,927,8.3%,36
6,Qwen3-32B,878,830,923,906,888,8.3%,36
7,Qwen2.5-3B,865,822,901,915,851,2.8%,36
