Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-4o,1227,1188,1271,1277,1187,80.6%,36
2,gpt-5-mini,1203,1161,1251,1294,1135,77.8%,36
3,Gemma3-27B,1035,1001,1069,1085,989,55.6%,36
4,gpt-4o-mini,958,927,994,949,969,44.4%,36
5,Qwen3-4B,926,887,964,1019,829,38.9%,36
6,Qwen2.5-3B,831,790,869,811,849,25.0%,36
7,Qwen3-32B,817,774,853,908,691,25.0%,36
