Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-5-mini,1191,1164,1225,1000,1000,66.7%,33
2,Gemma3-27B,1102,1071,1134,1000,1000,53.1%,54
3,gpt-4o,1089,1058,1120,1000,1000,50.0%,44
4,gpt-4o-mini,1027,997,1061,1000,1000,38.9%,48
5,Qwen2.5-3B,933,895,970,1000,1000,23.9%,39
6,Qwen3-32B,828,796,856,1000,1000,2.5%,54
7,Qwen3-4B,827,795,858,1000,1000,5.0%,40
