Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,Qwen3-32B,1328,1284,1370,1000,1000,97.1%,35
2,gpt-5-mini,1199,1133,1254,1000,1000,80.0%,30
3,Qwen3-4B,1045,987,1114,1000,1000,54.3%,35
4,Gemma3-27B,943,882,1004,1000,1000,37.1%,35
5,gpt-4o,939,882,996,1000,1000,34.3%,35
6,Qwen2.5-3B,807,739,877,1000,1000,14.3%,35
7,gpt-4o-mini,736,677,789,1000,1000,2.9%,35
