Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-5-mini,1046,1021,1072,1000,1000,36.4%,33
2,Qwen2.5-3B,1004,986,1023,1000,1000,17.9%,39
3,gpt-4o-mini,1003,986,1018,1000,1000,16.7%,48
4,Qwen3-4B,1001,987,1015,1000,1000,12.5%,40
5,gpt-4o,989,973,1006,1000,1000,13.6%,44
6,Qwen3-32B,988,971,1003,1000,1000,14.8%,54
7,Gemma3-27B,966,952,980,1000,1000,3.7%,54
