Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-4o,1131,1074,1198,1000,1000,65.7%,35
2,gpt-4o-mini,1067,996,1148,1000,1000,57.1%,35
3,Qwen2.5-3B,1060,985,1134,1000,1000,51.4%,35
4,gpt-5-mini,1039,966,1112,1000,1000,53.3%,30
5,Qwen3-4B,1031,965,1096,1000,1000,45.7%,35
6,Qwen3-32B,837,769,904,1000,1000,17.1%,35
7,Gemma3-27B,831,758,902,1000,1000,11.4%,35
