Rank,Model,Elo,Elo_lo,Elo_hi,Elo-Alt (Wolf/Spy),Elo-Main (Vil/Civ),Win Rate,Matches
1,gpt-5-mini,1149,1119,1184,1000,1000,62.6%,33
2,gpt-4o,1083,1058,1113,1000,1000,47.0%,44
3,Qwen2.5-3B,1026,995,1057,1000,1000,42.7%,39
4,Qwen3-32B,973,950,997,1000,1000,22.2%,54
5,Gemma3-27B,941,917,963,1000,1000,16.0%,54
6,gpt-4o-mini,931,907,953,1000,1000,12.5%,48
7,Qwen3-4B,894,867,916,1000,1000,1.7%,40
